Designator,Mid X,Mid Y,Rotation,Layer
C13,240.03,-142.367,90.0,top
C16,239.4712,-128.9812,270.0,top
C17,205.74,-119.652,270.0,top
C18,239.522,-118.9228,90.0,top
C19,205.359,-144.018,90.0,top
C20,206.629,-144.01,90.0,top
C21,238.506,-142.24,90.0,top
C23,203.581,-144.018,90.0,top
C24,240.792,-118.9228,90.0,top
C25,202.057,-144.137,90.0,top
D1,227.7364,-140.64,90.0,top
D10,234.5944,-141.036,270.0,top
D2,230.4796,-140.64,90.0,top
D5,224.9424,-140.64,90.0,top
D9,242.697,-130.683,0.0,top
H22,248.3104,-117.094,90.0,top
H23,248.3104,-147.066,90.0,top
H24,198.374,-147.0152,90.0,top
H25,198.2724,-117.0432,90.0,top
J10,223.525,-146.05,270.0,top
J11,248.5836,-131.8482,90.0,top
J13,219.456,-128.778,0.0,top
J14,227.711,-128.778,0.0,top
J15,223.647,-128.778,0.0,top
J16,231.648,-128.778,0.0,top
J8,234.594,-146.035,270.0,top
J9,223.652,-117.983,90.0,top
R11,236.9566,-136.6266,90.0,top
R14,239.8014,-138.3538,180.0,top
R15,239.522,-135.1026,270.0,top
R19,211.709,-144.137,90.0,top
R7,210.312,-144.137,90.0,top
R8,204.216,-119.626,90.0,top
R9,238.252,-118.9228,90.0,top
S3,247.8278,-140.5128,180.0,top
S4,247.8786,-123.4948,180.0,top
U5,202.095,-132.08,90.0,top
U6,243.3121,-134.046,0.0,top
U7,243.5272,-127.8701,270.0,top
X1,239.5728,-123.0884,0.0,top
