Designator,Mid X,Mid Y,Rotation,Layer
A1,218.53425,-126.45925,0.0,top
C1,228.90405,-123.475,270.0,top
C10,232.89185,-115.9566,90.0,top
C11,227.32925,-136.7344,90.0,top
C12,230.25025,-136.8354,90.0,top
C14,198.83045,-140.9248,270.0,top
C15,227.12605,-123.483,270.0,top
C2,200.32905,-141.4328,90.0,top
C3,237.69245,-118.1478,90.0,top
C4,228.85325,-136.8354,90.0,top
C5,235.91445,-118.1738,90.0,top
C6,197.81445,-117.8034,90.0,top
C7,231.49485,-115.9566,90.0,top
C8,197.45885,-141.128,270.0,top
C9,196.06185,-140.874,270.0,top
D3,217.16925,-138.3846,90.0,top
D4,237.18085,-130.206,0.0,top
D6,222.75725,-138.3342,90.0,top
D7,220.06485,-138.3594,90.0,top
D8,237.28605,-138.5626,270.0,top
H17,192.48045,-144.811,90.0,top
H26,242.32765,-114.9282,90.0,top
H29,242.41685,-144.9126,90.0,top
H32,192.53125,-114.8898,90.0,top
J1,223.48345,-115.8804,90.0,top
J18,212.14005,-115.9058,90.0,top
J19,207.77125,-143.8458,270.0,top
J2,226.65885,-143.8396,270.0,top
J20,216.50885,-143.8458,270.0,top
J5,242.77245,-129.9234,90.0,top
J6,235.46225,-143.8396,270.0,top
R1,211.63205,-136.7592,180.0,top
R10,211.58125,-138.1054,180.0,top
R12,203.708,-117.729,90.0,top
R16,211.58125,-139.5024,180.0,top
R17,230.22485,-115.9566,90.0,top
R18,200.50685,-144.0998,90.0,top
R2,201.549,-117.729,90.0,top
R20,234.23805,-139.2738,0.0,top
R3,199.92265,-117.7418,90.0,top
R4,201.59905,-144.1252,90.0,top
R5,234.49205,-124.4402,90.0,top
R6,233.17125,-124.4322,90.0,top
S1,242.06905,-138.3848,180.0,top
S2,242.03585,-121.5446,0.0,top
U1,196.20145,-129.7449,90.0,top
U2,234.24845,-134.7824,90.0,top
U3,237.94645,-133.2088,90.0,top
U4,237.59085,-125.8372,0.0,top
X3,231.37325,-119.3174,0.0,top
